IIIM_Fem_fitness	YM_fem_fitness	traD_fem_fitness	IIIM_male_fitness	YM_male_fitness
-0.06325396842224626	0.023939682742559865	0.09975714917015058	-0.04598672045674255	0.034956384907357585
-0.04452363231725301	0.07533248180511232	-0.038097114615779006	-0.09491884228081737	-0.04116050626737786
-0.0021618554456148686	-0.08387949717454005	0.09273838663390102	-0.04203106685379659	0.021484136620587527
0.0978632722137292	-0.03783953302526719	0.06495985579828123	-0.09128087949487772	-0.08663019814545987
0.07192233154730085	-0.026097492568516484	0.07394929395192917	-0.03984419533326289	-0.09500466552526993
0.05062049033462593	0.0922733057264718	0.0014750948329301516	0.09499715799291295	0.037108189756800636
0.023433223593879587	-0.09349599803894959	0.035815935599506965	-0.025337465835010606	0.09272173205683795
0.05952053493528059	-0.07410486341548361	-0.06671066606845841	-0.09068417557295035	-0.01677889839404756
0.03194734931673515	0.08587326222635216	0.0725815689519371	-0.08022513037150109	-0.07340997674042536
0.03934338455020012	-0.030511919724460032	-0.013124615158837005	0.07933742568265997	-0.048941472314519265
0.018043565707977008	-0.06149695716917565	0.08417662338380727	0.09779848189240273	-0.014505035711597197
-0.07511141858016677	-0.08558992705027423	0.07121310658025051	-0.05271854856626501	-0.056069713474528965
-0.029017045932933597	0.09790632370587313	-0.06148318578913932	0.016270954188094502	0.06275828052518609
0.09713458847393339	-0.09605248717231135	0.09407870712051097	0.016962544540660845	-0.08428693096471003
0.08349405454869865	-0.011697207884656821	-0.08471646341952316	-0.04213708283597617	-0.07083044351977721
-0.051890306921922896	0.031594792093820934	-0.029487814927516273	-0.06851115918368475	0.018602150842539383
-0.09538021651629772	0.03875836276061134	0.0009731918436743092	-0.01331674604015802	0.09463043847858346
0.0820792987512057	-0.04398986965186067	-0.03684635960545045	-0.06176581247021218	0.06016049723746092
-0.012232314281958812	-0.02585303781530468	0.026521864667123418	0.012680449374580391	-0.036748199411814245
-0.010277379817694193	0.05466164218352121	0.0038334273238470606	0.047285615893724264	0.06884732943598956
